ReadID	Reference	ReadLength
SRR27421012.4683	NC_012157.1	9981
SRR27421012.45823	NC_012157.1	5684
SRR27421012.57585	NC_012157.1	7110
SRR27421012.61417	NC_012157.1	5648
SRR27421012.63129	NC_012157.1	10034
SRR27421012.93727	NC_012157.1	5152
SRR27421012.94308	NC_012157.1	6918
SRR27421012.131007	NC_012157.1	6077
SRR27421012.162045	NC_012157.1	6071
SRR27421012.164860	NC_012157.1	5894
SRR27421012.27231	NC_012157.1	6927
SRR27421012.38701	NC_012157.1	7741
SRR27421012.47234	NC_012157.1	5688
SRR27421012.101662	NC_012157.1	5388
SRR27421012.107067	NC_012157.1	8309
SRR27421012.171825	NC_012157.1	5042
SRR27421012.93667	NC_012157.1	8554
SRR27421012.93407	NC_012157.1	8540
SRR27421012.134071	NC_012157.1	6454
SRR27421012.23643	NC_012157.1	8610
SRR27421012.104400	NC_012157.1	7014
SRR27421012.79642	NC_012157.1	12474
SRR27421012.120902	NC_012157.1	5705
SRR27421012.127548	NC_012157.1	5717
SRR27421012.34647	NC_012157.1	5368
SRR27421012.132177	NC_012157.1	7579
SRR27421012.95216	NC_012157.1	5732
SRR27421012.68024	NC_012157.1	6057
SRR27421012.172812	NC_012157.1	8347
SRR27421012.105253	NC_012157.1	6384
SRR27421012.104599	NC_012157.1	6388
SRR27421012.91133	NC_012157.1	6626
SRR27421012.80358	NC_012157.1	5010
SRR27421012.129740	NC_012157.1	6496
SRR27421012.15809	NC_012157.1	13594
SRR27421012.173482	NC_012157.1	6486
SRR27421012.153869	NC_012157.1	5695
SRR27421012.52832	NC_012157.1	6282
SRR27421012.144518	NC_012157.1	7825
SRR27421012.159372	NC_012157.1	5219
SRR27421012.176489	NC_012157.1	7542
SRR27421012.2268	NC_012157.1	5997
SRR27421012.173982	NC_012157.1	6497
SRR27421012.82380	NC_012157.1	5510
SRR27421012.111035	NC_012157.1	6876
SRR27421012.144475	NC_012157.1	5211
SRR27421012.82399	NC_012157.1	6773
SRR27421012.153367	NC_012157.1	7754
SRR27421012.115552	NC_012157.1	10447
SRR27421012.103919	NC_012157.1	15344
SRR27421012.117915	NC_012157.1	5115
SRR27421012.35914	NC_012157.1	6162
SRR27421012.82189	NC_012157.1	5698
SRR27421012.119579	NC_012157.1	7251
SRR27421012.85230	NC_012157.1	6947
SRR27421012.85819	NC_012157.1	6982
