#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_012157.1	1	26511	107	26511	100	23.1191	34.2	60
NC_012158.1	1	30408	208	30408	100	73.2504	33	58.9
NC_012152.1	1	30290	10452	30290	100	2463.88	34.2	60
NC_012156.1	1	30088	3069	30088	100	1690.25	34.2	59.2
NC_012154.1	1	29762	7908	29762	100	4396.9	34.3	59.1
NC_012149.1	1	29912	3875	29912	100	2111.95	34.4	59.9
NC_012227.1	1	18181	33	18181	100	10.9773	35.8	60
NC_012228.1	1	25799	3	12791	49.5794	0.679212	38.6	60
NC_012202.1	1	54623	81	51142	93.6272	10.3782	34.9	60
NC_012170.1	1	27775	52	27775	100	11.9734	34.6	60
NC_012194.1	1	54021	1232	54021	100	136.835	34.2	60
NC_012203.1	1	29418	58	29416	99.9932	14.2799	30.8	60
NZ_ABJY02000014.1	1	25946	49	25946	100	11.7172	34.7	60
NZ_ABJY02000013.1	1	57720	81	57720	100	9.24634	34.1	60
NZ_ABJY02000012.1	1	83077	116	83076	99.9988	8.62278	34.5	60
NZ_ABJY02000011.1	1	84891	151	84891	100	11.8221	35.2	60
NZ_ABJY02000008.1	1	209169	360	209169	100	10.8922	33.8	60
NZ_ABJY02000007.1	1	200423	330	200422	99.9995	11.2106	34.3	60
NZ_ABJY02000006.1	1	29093	52	29093	100	12.4358	33.8	60
NZ_ABJY02000003.1	1	59106	90	59106	100	10.2807	33.8	60
NZ_ABJY02000002.1	1	150291	222	150291	100	9.87534	34.5	60
NZ_ABJY02000010.1	1	2419	0	0	0	0	0	0
NZ_ABJY02000009.1	1	1414	0	0	0	0	0	0
NZ_ABJY02000005.1	1	1406	0	0	0	0	0	0
NZ_ABJY02000004.1	1	1405	0	0	0	0	0	0
NZ_ABJY02000001.1	1	1206	0	0	0	0	0	0
